1,Taipei,2013/12/31,松山,5.0,0.71,0,23.6,0,55,37.0,47.22,13.88,33.34,0,0,0,1.89,16.09,68.24,0
2,Taipei,2013/12/31,古亭,4.5,0.69,0,25.6,0,64,38.0,39.17,8.84,30.33,0,0,0,1.96,16.92,67.68,0
3,Taipei,2013/12/31,中山,3.5,0.91,0,18.6,0,80,42.0,55.59,18.17,37.42,0,0,0,1.67,17.52,67.96,0
4,Taipei,2013/12/31,大同,5.3,1.92,0,0,0,90,50.0,121.47,73.53,47.94,0,0,0,0,0,0,0
5,Taipei,2013/12/31,萬華,4.9,0.73,0,22.2,0,58,36.0,47.57,10.43,37.15,0,0,0,2.28,17.3,64.98,0
6,Taipei,2013/12/31,陽明,2.9,0.26,0,55.0,0,24,18.0,5.21,1.35,3.86,0,0,0,0,10.36,93.54,0
7,Taipei,2013/12/31,士林,4.7,0.71,0,27.5,0,59,37.0,34.78,9.26,25.53,0,0,0,1.53,16.81,67.67,0
8,Taipei,2013/12/30,松山,4.7,0.72,0,13.9,0,58,44.0,48.58,14.99,33.6,0,0,0,1.49,13.91,83.0,0
9,Taipei,2013/12/30,古亭,4.4,0.66,0,18.5,0,66,37.0,35.55,10.04,25.51,0,0,0,1.99,14.57,83.57,0
10,Taipei,2013/12/30,中山,5.1,0.85,0,11.8,0,77,49.0,56.99,21.16,35.83,0,0,0,1.77,15.02,84.4,0
11,Taipei,2013/12/30,大同,6.0,1.95,0,0,0,96,52.0,121.7,80.9,40.8,0,0,0,0,0,0,0
12,Taipei,2013/12/30,萬華,5.3,0.72,0,13.9,0,58,39.0,48.39,14.93,33.46,0,0,0,2.44,14.92,80.75,0
13,Taipei,2013/12/30,陽明,3.1,0.32,0,42.0,0,11,7.0,5.95,0.82,5.14,0,0,0,0,8.89,99.0,0
14,Taipei,2013/12/30,士林,4.5,0.68,0,20.4,0,62,41.0,35.18,10.87,24.31,0,0,0,1.37,14.7,77.59,0
15,Taipei,2013/12/29,松山,4.5,0.52,0,16.8,0,60,38.0,29.81,4.49,25.32,0,0,0,1.48,11.18,82.42,0
16,Taipei,2013/12/29,古亭,4.1,0.51,0,17.5,0,57,36.0,26.52,5.48,21.05,0,0,0,2.04,11.56,85.92,0
17,Taipei,2013/12/29,中山,4.1,0.6,0,11.7,0,82,47.0,38.44,11.85,26.59,0,0,0,1.68,12.24,84.81,0
18,Taipei,2013/12/29,大同,0,1.44,0,0,0,82,46.0,107.16,71.66,35.51,0,0,0,0,0,0,0
19,Taipei,2013/12/29,萬華,5.4,0.55,0,12.7,0,52,36.0,37.72,9.16,28.56,0,0,0,2.04,12.07,80.58,0
20,Taipei,2013/12/29,陽明,3.6,0.29,0,34.9,0,18,14.0,6.99,0.3,6.77,0,0,0,0,5.77,98.8,0
21,Taipei,2013/12/29,士林,3.7,0.43,0,21.0,0,58,33.0,22.49,3.96,18.53,0,0,0,1.78,11.83,77.63,0
22,Taipei,2013/12/28,松山,3.4,0.47,0,17.5,0,42,28.0,30.04,5.75,24.29,0,0,0,1.59,12.35,69.05,0
23,Taipei,2013/12/28,古亭,3.3,0.49,0,17.5,0,48,28.0,30.01,7.35,22.66,0,0,0,2.18,12.82,71.25,0
24,Taipei,2013/12/28,中山,2.3,0.71,0,12.3,0,63,34.0,46.32,18.27,28.04,0,0,0,1.52,13.61,69.64,0
25,Taipei,2013/12/28,大同,4.1,1.16,0,0,0,69,36.0,88.76,54.1,34.66,0,0,0,0,0,0,0
26,Taipei,2013/12/28,萬華,2.7,0.51,0,14.6,0,41,24.0,35.94,8.28,27.66,0,0,0,2.14,13.41,65.5,0
27,Taipei,2013/12/28,陽明,1.9,0.22,0,36.6,0,14,12.0,4.44,0.52,3.87,0,0,0,0,6.34,94.78,0
28,Taipei,2013/12/28,士林,3.6,0.42,0,24.4,0,43,26.0,23.9,6.76,17.13,0,0,0,1.91,13.12,65.45,0
29,Taipei,2013/12/27,松山,8.6,0.73,0,21.0,0,130,86.0,28.76,4.63,24.13,0,0,0,1.89,10.95,58.24,0
30,Taipei,2013/12/27,古亭,8.1,0.81,0,16.0,0,132,87.0,33.89,7.47,26.41,0,0,0,2.22,11.07,64.65,0
31,Taipei,2013/12/27,中山,8.6,0.87,0,15.6,0,153,94.0,39.81,11.78,28.02,0,0,0,1.74,11.77,63.01,0
32,Taipei,2013/12/27,大同,9.6,1.62,0,0,0,152,100.0,95.78,60.47,35.31,0,0,0,0,0,0,0
33,Taipei,2013/12/27,萬華,8.3,0.87,0,14.0,0,123,88.0,40.51,10.37,30.13,0,0,0,1.7,11.54,59.9,0
34,Taipei,2013/12/27,陽明,8.9,0.57,0,32.5,0,72,62.0,14.11,1.13,12.98,0,0,0,0,3.59,92.37,0
35,Taipei,2013/12/27,士林,9.8,0.66,0,26.3,0,132,93.0,21.61,3.6,18.02,0,0,0,2.8,11.38,57.6,0
36,Taipei,2013/12/26,松山,4.4,0.68,0,21.8,0,53,40.0,33.37,5.74,27.64,0,0,0,1.39,14.44,78.95,0
37,Taipei,2013/12/26,古亭,4.7,0.89,0,15.8,0,65,40.0,43.48,12.03,31.45,0,0,0,1.53,14.34,89.6,0
38,Taipei,2013/12/26,中山,5.4,1.02,0,13.3,0,74,49.0,54.91,19.8,35.11,0,0,0,1.35,15.11,82.93,0
39,Taipei,2013/12/26,大同,6.2,2.06,0,0,0,84,49.0,109.64,71.23,38.42,0,0,0,0,0,0,0
40,Taipei,2013/12/26,萬華,5.1,0.94,0,13.8,0,59,41.0,45.88,11.45,34.44,0,0,0,1.43,14.74,81.8,0
41,Taipei,2013/12/26,陽明,4.6,0.45,0,40.3,0,36,29.0,9.18,1.02,8.16,0,0,0,0,8.78,98.73,0
42,Taipei,2013/12/26,士林,4.9,0.63,0,26.9,0,63,41.0,28.46,7.34,21.1,0,0,0,2.08,14.57,77.18,0
43,Taipei,2013/12/25,松山,2.6,0.54,0,23.9,0,27,22.0,31.71,5.76,25.93,0,0,0,1.7,15.34,88.57,0
44,Taipei,2013/12/25,古亭,2.2,0.63,0,21.5,0,33,22.0,34.11,8.32,25.79,0,0,0,2.19,15.73,97.16,0
45,Taipei,2013/12/25,中山,2.4,0.81,0,16.9,0,52,29.0,45.59,16.06,29.52,0,0,0,1.7,16.36,89.93,0
46,Taipei,2013/12/25,大同,4.0,2.15,0,0,0,52,31.0,121.72,82.64,39.08,0,0,0,0,0,0,0
47,Taipei,2013/12/25,萬華,2.9,0.77,0,17.0,0,27,23.0,45.41,13.79,31.62,0,0,0,1.99,16.15,87.99,0
48,Taipei,2013/12/25,陽明,0.9,0.26,0,46.5,0,5,3.0,2.54,0.85,1.69,0,0,0,0,11.07,99.0,0
49,Taipei,2013/12/25,士林,2.7,0.59,0,25.1,0,34,21.0,32.01,8.98,23.02,0,0,0,1.74,16.15,82.52,0
50,Taipei,2013/12/24,松山,2.3,0.42,0,28.9,0,28,24.0,26.86,4.56,22.29,0,0,0,2.01,13.95,85.59,0
51,Taipei,2013/12/24,古亭,2.2,0.46,0,28.0,0,34,23.0,25.62,5.74,19.88,0,0,0,2.79,14.28,94.35,0
52,Taipei,2013/12/24,中山,2.7,0.6,0,20.8,0,45,31.0,36.21,9.99,26.22,0,0,0,2.14,15.02,86.78,0
53,Taipei,2013/12/24,大同,3.8,1.49,0,0,0,54,27.0,97.53,60.02,37.52,0,0,0,0,0,0,0
54,Taipei,2013/12/24,萬華,2.7,0.49,0,23.6,0,29,23.0,32.72,6.84,25.88,0,0,0,2.98,14.81,84.09,0
55,Taipei,2013/12/24,陽明,1.4,0.23,0,46.7,0,7,6.0,2.81,1.16,1.65,0,0,0,0,9.08,99.0,0
56,Taipei,2013/12/24,士林,2.2,0.33,0,36.5,0,29,20.0,21.32,8.04,13.26,0,0,0,2.4,15.11,75.8,0
57,Taipei,2013/12/23,松山,1.8,0.36,0,24.8,0,18,13.0,28.08,4.95,23.11,0,0,0,1.93,14.78,88.01,0
58,Taipei,2013/12/23,古亭,2.3,0.44,0,21.8,0,29,13.0,30.17,7.07,23.1,0,0,0,2.31,15.18,96.71,0
59,Taipei,2013/12/23,中山,1.7,0.56,0,18.2,0,42,20.0,41.69,13.37,28.32,0,0,0,1.99,15.81,89.19,0
60,Taipei,2013/12/23,大同,3.7,1.56,0,0,0,38,20.0,103.66,67.77,35.88,0,0,0,0,0,0,0
61,Taipei,2013/12/23,萬華,2.1,0.45,0,20.6,0,21,13.0,35.54,9.08,26.46,0,0,0,2.89,15.62,86.34,0
62,Taipei,2013/12/23,陽明,1.0,0.13,0,45.6,0,5,2.0,2.25,0.78,1.46,0,0,0,0,10.25,99.0,0
63,Taipei,2013/12/23,士林,2.2,0.37,0,25.7,0,22,15.0,26.15,5.95,20.2,0,0,0,1.66,15.48,82.25,0
64,Taipei,2013/12/22,松山,2.2,0.4,0,22.8,0,26,20.0,22.82,3.05,19.75,0,0,0,1.6,13.68,80.65,0
65,Taipei,2013/12/22,古亭,1.6,0.38,0,22.7,0,38,19.0,19.46,3.46,16.0,0,0,0,2.33,14.04,85.37,0
66,Taipei,2013/12/22,中山,2.3,0.51,0,16.7,0,49,29.0,30.37,5.73,24.65,0,0,0,1.96,14.69,82.65,0
67,Taipei,2013/12/22,大同,0,0,0,0,0,63,30.0,0,0,0,0,0,0,0,0,0,0
68,Taipei,2013/12/22,萬華,2.4,0.44,0,18.0,0,32,22.0,31.54,6.73,24.81,0,0,0,2.52,14.63,78.73,0
69,Taipei,2013/12/22,陽明,2.2,0.18,0,41.0,0,8,7.0,2.59,0.82,1.76,0,0,0,0,8.44,99.0,0
70,Taipei,2013/12/22,士林,1.3,0.31,0,30.1,0,40,20.0,16.05,3.58,12.47,0,0,0,2.2,14.52,74.53,0
71,Taipei,2013/12/21,松山,4.3,0.65,0,19.8,0,65,47.0,28.19,4.32,23.87,0,0,0,1.61,12.11,85.81,0
72,Taipei,2013/12/21,古亭,4.2,0.73,0,18.1,0,72,47.0,29.88,6.44,23.44,0,0,0,2.26,12.44,95.01,0
73,Taipei,2013/12/21,中山,4.2,0.82,0,13.4,0,80,57.0,41.32,13.08,28.24,0,0,0,1.66,13.14,87.84,0
74,Taipei,2013/12/21,大同,5.9,1.76,0,0,0,83,56.0,111.93,75.59,36.34,0,0,0,0,0,0,0
75,Taipei,2013/12/21,萬華,6.6,0.74,0,14.1,0,59,47.0,40.14,10.88,29.27,0,0,0,2.12,12.99,84.66,0
76,Taipei,2013/12/21,陽明,3.7,0.45,0,36.8,0,15,13.0,6.33,2.03,4.3,0,0,0,0,7.06,99.0,0
77,Taipei,2013/12/21,士林,4.6,0.58,0,26.3,0,58,43.0,18.93,3.17,15.76,0,0,0,1.88,12.93,77.51,0
78,Taipei,2013/12/20,松山,3.9,0.48,0,23.0,0,49,33.0,31.52,5.82,25.69,0,0,0,2.09,12.87,78.28,0
79,Taipei,2013/12/20,古亭,2.9,0.5,0,24.5,0,54,34.0,26.57,5.84,20.72,0,0,0,2.7,13.02,85.47,0
80,Taipei,2013/12/20,中山,3.6,0.65,0,17.3,0,77,41.0,40.72,12.38,28.34,0,0,0,2.32,13.86,80.63,0
81,Taipei,2013/12/20,大同,4.9,1.54,0,0,0,79,42.0,109.03,72.33,36.69,0,0,0,0,0,0,0
82,Taipei,2013/12/20,萬華,5.2,0.55,0,19.8,0,47,35.0,37.27,9.1,28.17,0,0,0,2.91,13.72,77.18,0
83,Taipei,2013/12/20,陽明,2.5,0.29,0,43.2,0,15,12.0,4.35,1.23,3.12,0,0,0,0,7.1,98.94,0
84,Taipei,2013/12/20,士林,2.9,0.37,0,34.3,0,47,30.0,17.29,2.02,15.28,0,0,0,2.67,13.56,72.02,0
85,Taipei,2013/12/19,松山,3.3,0.56,0,20.4,0,52,38.0,31.04,5.76,25.27,0,0,0,1.39,13.01,80.78,0
86,Taipei,2013/12/19,古亭,3.8,0.72,0,15.0,0,67,41.0,41.55,12.71,28.83,0,0,0,1.58,12.91,92.4,0
87,Taipei,2013/12/19,中山,3.9,0.82,0,14.3,0,72,47.0,47.9,17.18,30.71,0,0,0,1.26,13.81,82.77,0
88,Taipei,2013/12/19,大同,4.6,1.64,0,0,0,78,49.0,91.55,56.76,34.79,0,0,0,0,0,0,0
89,Taipei,2013/12/19,萬華,4.1,0.73,0,16.9,0,56,40.0,35.79,7.24,28.54,0,0,0,1.46,13.65,79.51,0
90,Taipei,2013/12/19,陽明,3.7,0.33,0,42.1,0,18,15.0,4.45,0.83,3.58,0,0,0,0,7.19,99.0,0
91,Taipei,2013/12/19,士林,4.2,0.56,0,25.9,0,54,41.0,32.05,9.02,23.01,0,0,0,2.19,13.26,76.92,0
92,Taipei,2013/12/18,松山,2.6,0.51,0,14.3,0,28,15.0,34.45,9.04,25.42,0,0,0,1.33,14.74,79.44,0
93,Taipei,2013/12/18,古亭,2.5,0.72,0,8.1,0,38,20.0,45.36,17.0,28.36,0,0,0,1.84,14.41,91.45,0
94,Taipei,2013/12/18,中山,2.4,0.76,0,9.7,0,43,21.0,49.19,20.6,28.6,0,0,0,1.5,15.32,82.67,0
95,Taipei,2013/12/18,大同,3.5,1.55,0,0,0,44,21.0,75.73,48.07,27.66,0,0,0,0,0,0,0
96,Taipei,2013/12/18,萬華,2.3,0.71,0,10.0,0,28,17.0,39.3,11.5,27.81,0,0,0,1.33,14.98,81.76,0
97,Taipei,2013/12/18,陽明,0.8,0.19,0,34.9,0,6,4.0,4.46,1.01,3.46,0,0,0,0,8.83,99.0,0
98,Taipei,2013/12/18,士林,1.4,0.41,0,18.8,0,24,15.0,21.47,3.1,18.36,0,0,0,2.41,14.67,78.6,0
99,Taipei,2013/12/17,松山,1.4,0.54,0,14.3,0,13,10.0,37.25,10.25,26.99,0,0,0,1.19,16.72,88.6,0
100,Taipei,2013/12/17,古亭,2.1,0.69,0,10.5,0,31,14.0,44.93,16.06,28.87,0,0,0,1.38,16.45,99.57,0
101,Taipei,2013/12/17,中山,2.2,0.83,0,9.9,0,38,20.0,53.84,24.33,29.51,0,0,0,1.16,17.19,93.05,0
102,Taipei,2013/12/17,大同,3.4,1.63,0,0,0,33,16.0,77.29,46.94,30.36,0,0,0,0,0,0,0
103,Taipei,2013/12/17,萬華,2.3,0.67,0,12.6,0,16,11.0,36.83,9.56,27.27,0,0,0,0.92,16.99,91.09,0
104,Taipei,2013/12/17,陽明,1.1,0.15,0,38.5,0,5,2.0,3.06,0.67,2.39,0,0,0,0,12.2,99.0,0
105,Taipei,2013/12/17,士林,2.0,0.36,0,21.4,0,17,6.0,20.57,3.99,16.59,0,0,0,1.49,16.46,88.76,0
106,Taipei,2013/12/16,松山,1.9,0.41,0,26.4,0,9,11.0,23.71,4.58,19.11,0,0,0,2.06,19.97,84.2,0
107,Taipei,2013/12/16,古亭,1.8,0.53,0,23.1,0,27,11.0,27.59,7.84,19.75,0,0,0,2.56,20.45,90.73,0
108,Taipei,2013/12/16,中山,1.3,0.61,0,21.1,0,33,18.0,34.33,11.45,22.88,0,0,0,2.48,20.91,84.89,0
109,Taipei,2013/12/16,大同,2.5,1.3,0,0,0,37,14.0,58.75,33.29,25.46,0,0,0,0,0,0,0
110,Taipei,2013/12/16,萬華,1.8,0.52,0,24.5,0,14,10.0,25.34,5.14,20.19,0,0,0,2.83,20.66,84.89,0
111,Taipei,2013/12/16,陽明,1.4,0.15,0,43.6,0,0,2.0,2.43,0.42,2.0,0,0,0,0,15.25,99.0,0
112,Taipei,2013/12/16,士林,1.6,0.26,0,34.9,0,16,9.0,11.08,2.04,9.04,0,0,0,3.02,20.88,79.42,0
113,Taipei,2013/12/15,松山,0.8,0.32,412.06,32.5,36,13,14.0,15.19,1.3,13.89,1.939,0.058,1.88,2.38,19.18,89.19,33.0
114,Taipei,2013/12/15,古亭,1.6,0.35,0,26.6,29,30,12.0,18.18,2.51,15.67,1.912,0.081,1.83,2.93,19.5,97.87,30.0
115,Taipei,2013/12/15,中山,1.3,0.43,0,23.7,28,37,21.0,24.23,5.95,18.29,2.009,0.114,1.9,2.18,20.06,90.66,37.0
116,Taipei,2013/12/15,大同,2.4,0.76,0,0,0,36,17.0,52.34,24.62,27.71,2.123,0.216,1.91,0,0,0,36.0
117,Taipei,2013/12/15,萬華,1.0,0.4,0,24.1,31,15,14.0,26.8,5.22,21.58,0,0,0,3.12,20.1,89.25,30.0
118,Taipei,2013/12/15,陽明,1.5,0.19,386.2,44.5,46,5,2.0,2.77,1.07,1.7,0,0,0,0,15.21,99.0,38.0
119,Taipei,2013/12/15,士林,1.4,0.27,0,36.7,40,16,10.0,10.42,1.97,8.45,0,0,0,2.8,20.05,82.92,37.0
120,Taipei,2013/12/14,松山,2.9,0.47,417.97,27.4,34,42,29.0,24.5,2.85,21.66,2.041,0.129,1.91,2.26,18.82,86.95,42.0
121,Taipei,2013/12/14,古亭,2.6,0.53,0,24.7,35,57,29.0,25.49,4.87,20.61,1.988,0.122,1.87,2.81,19.22,94.03,54.0
122,Taipei,2013/12/14,中山,2.4,0.58,0,21.8,30,70,0,30.31,7.01,23.3,2.1,0.172,1.93,2.41,19.83,87.29,60.0
123,Taipei,2013/12/14,大同,3.6,1.24,0,0,0,66,37.0,74.37,39.86,34.52,2.321,0.379,1.94,0,0,0,58.0
124,Taipei,2013/12/14,萬華,2.9,0.51,0,23.1,33,43,32.0,30.67,5.85,24.82,0,0,0,3.32,19.78,86.18,43.0
125,Taipei,2013/12/14,陽明,1.8,0.28,387.55,46.7,50,7,4.0,3.17,1.19,1.96,0,0,0,0,14.48,99.0,42.0
126,Taipei,2013/12/14,士林,2.2,0.36,0,40.8,47,39,27.0,9.81,1.7,8.11,0,0,0,2.95,20.09,78.24,42.0
127,Taipei,2013/12/13,松山,3.7,0.89,442.79,11.3,22,46,31.0,58.1,27.6,30.5,2.469,0.384,2.09,1.5,17.64,82.56,46.0
128,Taipei,2013/12/13,古亭,3.9,1.07,0,9.9,22,60,31.0,60.12,32.61,27.51,2.47,0.409,2.06,1.71,17.88,88.44,55.0
129,Taipei,2013/12/13,中山,10.6,1.5,0,8.1,16,92,49.0,87.24,50.96,36.28,2.974,0.685,2.29,1.43,18.76,82.88,71.0
130,Taipei,2013/12/13,大同,10.5,2.17,0,0,0,87,49.0,125.97,85.74,40.23,3.246,0.904,2.34,0,0,0,68.0
131,Taipei,2013/12/13,萬華,10.1,1.27,0,7.4,16,62,39.0,77.52,41.39,36.13,0,0,0,1.79,18.53,82.31,56.0
132,Taipei,2013/12/13,陽明,1.6,0.27,394.84,42.3,46,14,9.0,3.7,0.73,2.95,0,0,0,0,13.15,97.98,42.0
133,Taipei,2013/12/13,士林,5.8,0.94,0,15.8,38,51,38.0,57.37,30.39,26.98,0,0,0,1.54,18.34,79.72,50.0
134,Taipei,2013/12/12,松山,3.8,0.83,433.07,14.2,29,54,37.0,53.89,23.88,30.0,2.302,0.313,1.99,1.83,16.56,73.42,52.0
135,Taipei,2013/12/12,古亭,3.7,0.8,0,15.1,30,59,35.0,42.74,16.6,26.12,2.178,0.248,1.93,2.7,16.91,76.62,54.0
136,Taipei,2013/12/12,中山,5.5,0.94,0,12.2,24,85,41.0,55.21,25.1,30.11,2.383,0.385,2.0,2.19,17.72,74.32,68.0
137,Taipei,2013/12/12,大同,6.0,2.11,0,0,0,86,47.0,123.5,87.07,36.42,2.816,0.773,2.04,0,0,0,68.0
138,Taipei,2013/12/12,萬華,5.5,0.88,0,13.9,28,57,37.0,55.79,25.28,30.52,0,0,0,2.48,17.54,72.15,54.0
139,Taipei,2013/12/12,陽明,2.7,0.31,399.3,39.5,43,23,18.0,3.68,0.28,3.36,0,0,0,0,11.5,95.83,45.0
140,Taipei,2013/12/12,士林,4.6,0.55,0,24.7,35,50,35.0,24.75,6.13,18.61,0,0,0,2.36,17.82,68.55,50.0
141,Taipei,2013/12/11,松山,4.0,0.47,422.16,29.4,34,58,40.0,23.6,2.65,20.93,2.026,0.125,1.9,2.28,15.87,59.24,54.0
142,Taipei,2013/12/11,古亭,4.2,0.5,0,26.7,31,71,36.0,25.6,4.81,20.78,2.008,0.126,1.88,2.67,16.24,62.73,60.0
143,Taipei,2013/12/11,中山,4.1,0.68,0,21.3,28,84,44.0,36.36,10.31,26.05,2.118,0.193,1.93,1.82,16.87,61.6,67.0
144,Taipei,2013/12/11,大同,5.2,1.02,0,0,0,89,43.0,64.6,32.74,31.86,2.234,0.323,1.91,0,0,0,70.0
145,Taipei,2013/12/11,萬華,6.0,0.63,0,20.3,25,64,38.0,39.69,7.21,32.48,0,0,0,2.76,16.45,56.51,57.0
146,Taipei,2013/12/11,陽明,3.6,0.29,401.74,40.8,45,35,24.0,5.66,1.47,4.2,0,0,0,0,8.85,94.16,40.0
147,Taipei,2013/12/11,士林,5.1,0.42,0,33.6,36,64,37.0,17.19,1.93,15.24,0,0,0,2.13,16.36,60.34,57.0
148,Taipei,2013/12/10,松山,6.2,0.78,432.81,23.8,29,118,80.0,28.54,3.83,24.71,2.128,0.171,1.96,2.53,15.55,62.36,84.0
149,Taipei,2013/12/10,古亭,5.9,0.76,0,25.4,30,127,75.0,24.78,4.7,20.08,2.068,0.152,1.92,3.15,15.94,65.54,88.0
150,Taipei,2013/12/10,中山,5.5,0.93,0,18.4,21,146,81.0,38.77,10.74,28.03,2.218,0.242,1.98,2.18,16.55,64.85,98.0
151,Taipei,2013/12/10,大同,6.9,1.34,0,0,0,136,83.0,74.09,40.77,33.31,2.351,0.383,1.97,0,0,0,93.0
152,Taipei,2013/12/10,萬華,6.4,0.8,0,21.4,25,111,74.0,34.05,6.61,27.45,0,0,0,3.0,16.31,62.36,80.0
153,Taipei,2013/12/10,陽明,4.2,0.54,410.03,39.6,51,55,38.0,8.18,1.77,6.41,0,0,0,0,8.01,93.26,52.0
154,Taipei,2013/12/10,士林,5.6,0.62,0,34.3,43,118,73.0,15.66,1.7,13.94,0,0,0,2.41,16.1,62.11,84.0
155,Taipei,2013/12/09,松山,3.9,0.69,428.78,29.8,47,64,50.0,29.81,4.99,24.83,2.161,0.2,1.96,2.41,20.16,76.9,57.0
156,Taipei,2013/12/09,古亭,4.7,0.7,0,25.8,39,75,46.0,30.13,5.96,24.18,2.172,0.228,1.94,2.19,20.53,81.93,62.0
157,Taipei,2013/12/09,中山,3.8,0.95,0,19.5,29,83,53.0,43.78,12.48,31.3,2.317,0.315,2.0,1.75,21.1,79.01,66.0
158,Taipei,2013/12/09,大同,5.2,1.41,0,0,0,84,49.0,56.95,23.77,33.18,2.418,0.433,1.98,0,0,0,67.0
159,Taipei,2013/12/09,萬華,5.4,0.75,0,25.7,33,58,44.0,30.26,3.82,26.44,0,0,0,1.94,20.93,78.14,54.0
160,Taipei,2013/12/09,陽明,2.3,0.4,387.7,46.5,59,27,22.0,6.11,1.06,5.05,0,0,0,0,13.79,92.29,60.0
161,Taipei,2013/12/09,士林,3.7,0.54,0,34.9,51,71,40.0,18.89,2.68,16.21,0,0,0,2.36,20.63,76.92,60.0
162,Taipei,2013/12/08,松山,1.9,0.33,410.83,34.7,40,12,16.0,16.46,1.98,14.47,1.94,0.082,1.86,2.04,21.6,74.14,37.0
163,Taipei,2013/12/08,古亭,1.5,0.32,0,32.6,39,28,12.0,15.3,2.45,12.85,1.894,0.073,1.82,3.01,22.18,76.2,35.0
164,Taipei,2013/12/08,中山,0.7,0.4,0,29.2,34,42,20.0,20.9,4.07,16.83,1.988,0.121,1.87,2.78,22.69,74.22,42.0
165,Taipei,2013/12/08,大同,2.1,0.87,0,0,0,44,18.0,54.16,26.66,27.5,2.16,0.268,1.89,0,0,0,44.0
166,Taipei,2013/12/08,萬華,2.0,0.35,0,30.5,37,20,12.0,23.24,4.49,18.75,0,0,0,3.18,22.49,73.71,34.0
167,Taipei,2013/12/08,陽明,1.3,0.17,390.85,45.5,49,6,5.0,2.73,0.8,1.92,0,0,0,0,15.69,90.32,42.0
168,Taipei,2013/12/08,士林,1.5,0.24,0,42.7,49,21,15.0,10.92,3.24,7.67,0,0,0,2.71,22.74,70.41,42.0
169,Taipei,2013/12/07,松山,2.2,0.39,415.64,36.1,43,40,26.0,22.05,2.18,19.88,2.015,0.137,1.88,2.47,19.67,69.05,43.0
170,Taipei,2013/12/07,古亭,1.5,0.37,0,38.8,46,46,25.0,17.11,2.51,14.59,1.924,0.089,1.84,3.58,20.45,69.59,46.0
171,Taipei,2013/12/07,中山,1.8,0.48,0,29.5,32,71,32.0,28.84,4.02,24.82,2.068,0.172,1.9,2.75,20.9,69.24,60.0
172,Taipei,2013/12/07,大同,3.3,0.99,0,0,0,64,33.0,60.3,25.52,34.78,2.234,0.324,1.91,0,0,0,57.0
173,Taipei,2013/12/07,萬華,2.7,0.41,0,33.7,40,34,25.0,26.09,3.34,22.76,0,0,0,3.38,20.65,68.02,40.0
174,Taipei,2013/12/07,陽明,2.5,0.19,397.05,56.6,60,21,15.0,2.61,0.64,1.9,0,0,0,0,13.24,87.7,53.0
175,Taipei,2013/12/07,士林,4.1,0.25,0,51.2,53,44,25.0,10.21,1.08,9.1,0,0,0,3.46,20.9,65.4,47.0
176,Taipei,2013/12/06,松山,3.4,0.5,420.41,31.9,44,44,33.0,29.28,4.03,25.22,2.066,0.17,1.9,2.13,18.3,71.14,44.0
177,Taipei,2013/12/06,古亭,2.0,0.42,0,32.7,41,51,30.0,22.67,4.11,18.56,1.983,0.119,1.86,2.73,18.79,72.27,50.0
178,Taipei,2013/12/06,中山,3.0,0.73,0,22.9,31,80,36.0,45.06,12.63,32.43,2.215,0.259,1.96,1.94,19.72,70.46,65.0
179,Taipei,2013/12/06,大同,4.0,1.32,0,0,0,76,40.0,82.14,42.83,39.31,2.409,0.453,1.96,0,0,0,63.0
180,Taipei,2013/12/06,萬華,3.4,0.52,0,28.3,39,44,28.0,34.81,5.85,28.94,0,0,0,2.47,19.4,68.53,44.0
181,Taipei,2013/12/06,陽明,1.9,0.2,399.76,57.2,59,17,14.0,2.98,1.27,1.71,0,0,0,0,11.71,89.67,52.0
182,Taipei,2013/12/06,士林,2.5,0.34,0,42.2,50,47,32.0,16.36,2.3,14.04,0,0,0,2.23,18.99,69.57,47.0
183,Taipei,2013/12/05,松山,3.1,0.51,419.66,26.2,32,41,29.0,36.59,6.44,30.13,2.127,0.206,1.92,1.72,18.57,63.34,41.0
184,Taipei,2013/12/05,古亭,1.9,0.46,0,30.0,35,52,26.0,27.86,5.44,22.42,2.029,0.142,1.89,2.12,19.2,64.84,51.0
185,Taipei,2013/12/05,中山,3.6,0.68,0,19.8,26,64,35.0,46.67,10.46,36.2,2.264,0.278,1.99,1.86,19.78,64.42,57.0
186,Taipei,2013/12/05,大同,4.8,1.84,0,0,0,77,36.0,110.35,64.66,45.7,2.693,0.688,2.0,0,0,0,64.0
187,Taipei,2013/12/05,萬華,3.4,0.54,0,24.6,30,43,26.0,38.38,6.27,32.1,0,0,0,1.83,19.67,61.58,43.0
188,Taipei,2013/12/05,陽明,2.0,0.18,398.96,56.6,59,27,18.0,2.7,0.55,2.13,0,0,0,0,12.09,83.6,50.0
189,Taipei,2013/12/05,士林,3.9,0.32,0,41.3,48,52,28.0,18.32,2.18,16.15,0,0,0,2.14,19.31,63.03,51.0
190,Taipei,2013/12/04,松山,3.6,0.58,429.5,23.3,40,42,32.0,42.11,11.5,30.61,2.32,0.249,2.07,1.65,16.82,64.93,42.0
191,Taipei,2013/12/04,古亭,3.1,0.59,0,25.0,34,52,32.0,35.77,8.9,26.87,2.108,0.195,1.91,2.01,17.42,65.73,51.0
192,Taipei,2013/12/04,中山,1.4,0.77,0,18.2,25,71,39.0,53.04,14.67,38.38,2.325,0.291,2.03,1.46,18.49,62.44,60.0
193,Taipei,2013/12/04,大同,4.7,1.86,0,0,0,70,39.0,115.06,69.76,45.29,2.725,0.684,2.04,0,0,0,60.0
