1,Taipei,2016/11/13,松山,1.5,0.61,445.48,19.9,34,15,32.83,9.56,23.28,2.22,0.232,1.988,1.14,0.83,25.17,0,0,71.16,0
2,Taipei,2016/11/13,古亭,2.1,0.62,0,23.5,34,20,28.4,6.74,21.66,2.216,0.189,2.027,1.32,0.95,25.42,0,0,71.4,0
3,Taipei,2016/11/13,中山,2.6,0.86,0,19.4,33,19,43.54,15.51,28.03,2.327,0.29,2.036,1.33,0.93,26.14,0,0,74.66,0
4,Taipei,2016/11/13,大同,3.6,1.61,0,0,51,15,75.34,42.12,33.22,2.741,0.489,2.252,0,0,0,0,0,0,0
5,Taipei,2016/11/13,萬華,2.2,0.74,0,20.4,34,18,33.97,8.4,25.57,0,0,0,1.11,0.77,26.4,0,0,71.46,0
6,Taipei,2016/11/13,陽明,2.9,0.23,413.51,44.1,12,8,4.19,0.96,3.24,0,0,0,0,0,20.42,0,0,82.85,0
7,Taipei,2016/11/13,士林,2.2,0.56,0,26.4,36,16,23.03,4.68,18.35,0,0,0,1.36,1.19,25.18,0,0,74.92,0
8,Taipei,2016/11/12,松山,2,0.61,429.51,31.1,41,17,32.4,8.69,23.71,2.108,0.202,1.906,1.22,0.91,24.33,0,0,65.67,0
9,Taipei,2016/11/12,古亭,2.2,0.67,0,32,42,23,32.82,5.77,27.06,2.196,0.214,1.982,1.24,1.03,24.62,0,0,66.49,0
10,Taipei,2016/11/12,中山,3.2,0.87,0,24.5,38,21,47.77,14.83,32.92,2.223,0.269,1.954,1.39,0.9,25.07,0,0,66.35,0
11,Taipei,2016/11/12,大同,3.3,1.23,0,0,51,15,71.37,33.1,38.28,2.535,0.394,2.141,0,0,0,0,0,0,0
12,Taipei,2016/11/12,萬華,3.1,0.72,0,25.8,42,23,38.16,7.1,31.07,0,0,0,1.29,1.03,25.45,0,0,66.7,0
13,Taipei,2016/11/12,陽明,1.5,0.24,417.62,44.3,17,12,4.16,0.25,3.92,0,0,0,0,0,17.96,0,0,87.6,0
14,Taipei,2016/11/12,士林,2.7,0.53,0,34.4,38,20,26.06,5,21.06,0,0,0,1.52,1.36,24.51,0,0,68.98,0
15,Taipei,2016/11/11,松山,3.1,0.39,420.69,27.9,30,10,25.94,4.33,21.61,1.969,0.123,1.846,2.08,1.68,21.1,0,0,67.95,0
16,Taipei,2016/11/11,古亭,1.8,0.36,0,32.9,30,15,21.47,3.84,17.62,2.004,0.095,1.908,2.99,2.78,21.35,0,0,69,0
17,Taipei,2016/11/11,中山,2,0.55,0,26.4,31,11,31.55,7.5,24.04,2.019,0.155,1.864,2.54,2.16,21.93,0,0,72.03,0
18,Taipei,2016/11/11,大同,2.6,0.83,0,0,42,11,56.95,27.67,29.27,2.256,0.256,1.999,0,0,0,0,0,0,0
19,Taipei,2016/11/11,萬華,2.3,0.42,0,26.5,30,16,28.96,5.3,23.67,0,0,0,3.05,2.76,22.28,0,0,67.07,0
20,Taipei,2016/11/11,陽明,3,0.2,414.3,45.1,16,11,3.81,0.51,3.24,0,0,0,0,0,13.89,0,0,94.4,0
21,Taipei,2016/11/11,士林,1.7,0.25,0,44,23,12,8.87,1.26,7.6,0,0,0,3.02,2.65,21.68,0,0,66.18,0
22,Taipei,2016/11/10,松山,1.9,0.38,418.54,18.1,17,8,30.33,6.81,23.52,2.007,0.147,1.86,1.1,0.76,19.3,0,0,87.09,0
23,Taipei,2016/11/10,古亭,2.2,0.47,0,20.4,20,11,29.76,7.53,22.24,2.074,0.155,1.919,1.47,1.41,19.33,0,0,90,0
